"id";"data_inversa";"dia_semana";"horario";"uf";"br";"km";"municipio";"causa_acidente";"tipo_acidente";"classificacao_acidente";"fase_dia";"sentido_via";"condicao_metereologica";"tipo_pista";"tracado_via";"uso_solo";"pessoas";"mortos";"feridos_leves";"feridos_graves";"ilesos";"ignorados";"feridos";"veiculos"
83452091;"30/03/16";"Quarta";"07:30:00";"PB";104;"138,1";"QUEIMADAS";"Desobediência à sinalização";"Colisão Transversal";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Nublado";"Simples";"Reta";"Rural";2;0;1;0;1;0;1;2
83452092;"26/03/16";"Sábado";"13:30:00";"MG";267;"212,4";"BOM JARDIM DE MINAS";"Velocidade incompatível";"Colisão frontal";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Chuva";"Simples";"Curva";"Urbano";4;0;3;1;0;0;4;2
83452093;"27/03/16";"Domingo";"06:00:00";"PR";277;"104";"CAMPO LARGO";"Outras";"Incêndio";"Sem Vítimas";"Amanhecer";"Decrescente";"Sol";"Dupla";"Reta";"Rural";1;0;0;0;1;0;0;1
83452094;"23/03/16";"Quarta";"06:30:00";"PR";277;"221";"TEIXEIRA SOARES";"Outras";"Colisão lateral";"Sem Vítimas";"Pleno dia";"Decrescente";"Nevoeiro/neblina";"Simples";"Reta";"Rural";2;0;0;0;2;0;0;2
83452095;"24/03/16";"Quinta";"16:15:00";"CE";222;"49";"ITAPAGE";"Falta de atenção";"Colisão lateral";"Sem Vítimas";"Pleno dia";"Crescente";"Sol";"Simples";"Reta";"Urbano";2;0;0;0;2;0;0;2
83452096;"02/03/16";"Quarta";"10:30:00";"MS";163;"130";"NAVIRAI";"Defeito mecânico em veículo";"Derramamento de Carga";"Sem Vítimas";"Pleno dia";"Decrescente";"Nublado";"Simples";"Reta";"Rural";1;0;0;0;1;0;0;1
83452097;"26/03/16";"Sábado";"15:40:00";"SP";116;"150,2";"SAO JOSE DOS CAMPOS";"Ingestão de álcool";"Colisão traseira";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Ceu Claro";"Múltipla";"Reta";"Urbano";3;0;1;0;2;0;1;3
83452098;"27/03/16";"Domingo";"18:30:00";"PA";155;"301";"MARABA";"Falta de atenção";"Colisão Transversal";"Sem Vítimas";"Anoitecer";"Crescente";"Ceu Claro";"Simples";"Reta";"Rural";2;0;0;0;2;0;0;2
83452099;"02/01/16";"Sábado";"21:50:00";"PR";277;"361,9";"GUARAPUAVA";"Outras";"Tombamento";"Sem Vítimas";"Plena noite";"Crescente";"Nublado";"Simples";"Reta";"Rural";1;0;0;0;1;0;0;1
83452100;"26/03/16";"Sábado";"22:00:00";"BA";101;"522";"BUERAREMA";"Outras";"Capotamento";"Sem Vítimas";"Plena noite";"Crescente";"Nublado";"Simples";"Curva";"Rural";1;0;0;0;1;0;0;1
83452102;"29/03/16";"Terça";"17:10:00";"GO";153;"506";"APARECIDA DE GOIANIA";"Falta de atenção";"Colisão lateral";"Sem Vítimas";"Pleno dia";"Crescente";"Ceu Claro";"Dupla";"Reta";"Urbano";2;0;0;0;2;0;0;2
83452103;"26/03/16";"Sábado";"03:35:00";"PR";369;"149,4";"LONDRINA";"Outras";"Colisão com objeto fixo";"Sem Vítimas";"Plena noite";"Crescente";"Ceu Claro";"Dupla";"Reta";"Urbano";1;0;0;0;1;0;0;1
83452104;"30/03/16";"Quarta";"08:00:00";"SC";282;"5";"FLORIANOPOLIS";"Não guardar distância de segurança";"Colisão traseira";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Ceu Claro";"Dupla";"Reta";"Urbano";2;0;0;1;0;1;1;2
83452105;"27/03/16";"Domingo";"01:00:00";"RJ";101;"325";"NITEROI";"Ingestão de álcool";"Colisão com objeto fixo";"Com Vítimas Feridas";"Plena noite";"Decrescente";"Ceu Claro";"Dupla";"Reta";"Urbano";5;0;4;1;0;0;5;2
83452106;"30/03/16";"Quarta";"08:10:00";"SC";470;"51";"BLUMENAU";"Outras";"Colisão traseira";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Ceu Claro";"Simples";"Reta";"Urbano";2;0;1;0;1;0;1;2
83452107;"18/03/16";"Sexta";"22:00:00";"GO";60;"5,2";"SANTO ANTONIO DO DESCOBERTO";"Outras";"Incêndio";"Com Vítimas Feridas";"Plena noite";"Crescente";"Nublado";"Dupla";"Reta";"Rural";21;0;3;1;17;0;4;12
83452108;"26/03/16";"Sábado";"20:20:00";"SC";282;"176,8";"BOCAINA DO SUL";"Falta de atenção";"Colisão Transversal";"Com Vítimas Feridas";"Plena noite";"Decrescente";"Ceu Claro";"Simples";"Reta";"Rural";2;0;0;1;1;0;1;2
83452109;"20/01/16";"Quarta";"10:00:00";"MA";230;"404";"BALSAS";"Não guardar distância de segurança";"Colisão traseira";"Sem Vítimas";"Pleno dia";"Crescente";"Chuva";"Dupla";"Reta";"Urbano";2;0;0;0;2;0;0;2
83452110;"26/03/16";"Sábado";"17:45:00";"GO";60;"12";"SANTO ANTONIO DO DESCOBERTO";"Outras";"Colisão com objeto fixo";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Ceu Claro";"Dupla";"Reta";"Urbano";2;0;1;0;1;0;1;1
83452111;"26/03/16";"Sábado";"18:20:00";"PE";232;"109";"BEZERROS";"Defeito na via";"Saída de Pista";"Sem Vítimas";"Plena noite";"Crescente";"Ceu Claro";"Dupla";"Curva";"Rural";2;0;0;0;2;0;0;1
83452112;"26/03/16";"Sábado";"14:00:00";"SC";282;"2,8";"FLORIANOPOLIS";"Não guardar distância de segurança";"Colisão lateral";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Ceu Claro";"Dupla";"Reta";"Urbano";3;0;2;0;1;0;2;2
83452113;"30/03/16";"Quarta";"07:55:00";"PR";277;"83";"CURITIBA";"Desobediência à sinalização";"Colisão lateral";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Nublado";"Dupla";"Reta";"Urbano";4;0;1;1;2;0;2;3
83452114;"26/03/16";"Sábado";"21:50:00";"PR";376;"161,4";"MANDAGUACU";"Ingestão de álcool";"Colisão Transversal";"Com Vítimas Feridas";"Plena noite";"Decrescente";"Ceu Claro";"Dupla";"Reta";"Rural";3;0;1;0;2;0;1;2
83452115;"27/03/16";"Domingo";"00:30:00";"MG";153;"134,2";"PRATA";"Outras";"Saída de Pista";"Sem Vítimas";"Plena noite";"Decrescente";"Chuva";"Simples";"Reta";"Rural";1;0;0;0;1;0;0;1
83452116;"27/03/16";"Domingo";"00:30:00";"MG";116;"529";"CARATINGA";"Outras";"Queda de motocicleta / bicicleta / veículo";"Com Vítimas Feridas";"Plena noite";"Decrescente";"Ceu Claro";"Simples";"Curva";"Urbano";2;0;0;2;0;0;2;1
83452117;"27/03/16";"Domingo";"05:20:00";"RS";116;"266";"CANOAS";"Defeito mecânico em veículo";"Colisão lateral";"Sem Vítimas";"Plena noite";"Crescente";"Ceu Claro";"Dupla";"Reta";"Urbano";2;0;0;0;2;0;0;2
83452118;"28/02/16";"Domingo";"12:00:00";"MS";60;"130";"AGUA CLARA";"Velocidade incompatível";"Saída de Pista";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Sol";"Simples";"Reta";"Rural";1;0;1;0;0;0;1;1
83452119;"26/03/16";"Sábado";"14:28:00";"GO";153;"503,8";"GOIANIA";"Não guardar distância de segurança";"Colisão traseira";"Sem Vítimas";"Pleno dia";"Crescente";"Ceu Claro";"Dupla";"Reta";"Urbano";2;0;0;0;2;0;0;2
83452120;"30/03/16";"Quarta";"09:50:00";"GO";60;"65,6";"ABADIANIA";"Outras";"Saída de Pista";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Ceu Claro";"Dupla";"Reta";"Rural";2;0;1;1;0;0;2;1
83452121;"30/03/16";"Quarta";"10:40:00";"GO";153;"200";"URUACU";"Falta de atenção";"Colisão traseira";"Sem Vítimas";"Pleno dia";"Decrescente";"Ceu Claro";"Simples";"Reta";"Urbano";2;0;0;0;1;1;0;2
83452122;"30/03/16";"Quarta";"08:38:00";"MG";381;"815,1";"CAREACU";"Dormindo";"Colisão traseira";"Sem Vítimas";"Pleno dia";"Crescente";"Ceu Claro";"Dupla";"Curva";"Rural";2;0;0;0;2;0;0;2
83452123;"26/03/16";"Sábado";"23:10:00";"PE";232;"180";"BELO JARDIM";"Falta de atenção";"Colisão traseira";"Com Vítimas Feridas";"Plena noite";"Decrescente";"Ceu Claro";"Simples";"Reta";"Rural";3;0;0;2;0;1;2;2
83452124;"30/03/16";"Quarta";"07:55:00";"GO";40;"17";"LUZIANIA";"Não guardar distância de segurança";"Colisão lateral";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Ceu Claro";"Dupla";"Reta";"Urbano";4;0;3;0;1;0;3;2
83452125;"30/03/16";"Quarta";"09:50:00";"SP";116;"149,5";"SAO JOSE DOS CAMPOS";"Falta de atenção";"Colisão lateral";"Sem Vítimas";"Pleno dia";"Decrescente";"Ceu Claro";"Simples";"Reta";"Urbano";4;0;0;0;4;0;0;4
83452126;"30/03/16";"Quarta";"07:35:00";"RS";290;"96,4";"PORTO ALEGRE";"Falta de atenção";"Colisão lateral";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Sol";"Dupla";"Reta";"Urbano";2;0;1;0;1;0;1;2
83452127;"30/03/16";"Quarta";"08:40:00";"MS";267;"27";"BATAGUASSU";"Defeito na via";"Saída de Pista";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Ceu Claro";"Simples";"Reta";"Rural";1;0;0;1;0;0;1;1
83452128;"30/03/16";"Quarta";"09:30:00";"MT";364;"369";"SANTO ANTONIO DO LEVERGER";"Não guardar distância de segurança";"Colisão traseira";"Sem Vítimas";"Pleno dia";"Decrescente";"Ceu Claro";"Simples";"Reta";"Rural";2;0;0;0;2;0;0;2
83452129;"30/03/16";"Quarta";"10:20:00";"ES";262;"2,1";"CARIACICA";"Falta de atenção";"Atropelamento de pessoa";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Ceu Claro";"Múltipla";"Reta";"Urbano";2;0;1;0;1;0;1;1
83452130;"02/03/16";"Quarta";"15:50:00";"PE";407;"125";"PETROLINA";"Outras";"Colisão com bicicleta";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Ceu Claro";"Dupla";"Reta";"Urbano";2;0;0;1;0;1;1;2
83452131;"28/03/16";"Segunda";"20:20:00";"SC";282;"224";"LAGES";"Falta de atenção";"Capotamento";"Sem Vítimas";"Plena noite";"Crescente";"Ceu Claro";"Simples";"Curva";"Rural";1;0;0;0;1;0;0;1
83452132;"28/03/16";"Segunda";"07:30:00";"MT";364;"98";"ALTO GARCAS";"Outras";"Saída de Pista";"Sem Vítimas";"Amanhecer";"Decrescente";"Ceu Claro";"Simples";"Reta";"Rural";2;0;0;0;2;0;0;1
83452133;"30/03/16";"Quarta";"12:04:00";"PR";277;"483,1";"NOVA LARANJEIRAS";"Outras";"Colisão com objeto fixo";"Sem Vítimas";"Pleno dia";"Decrescente";"Ceu Claro";"Simples";"Curva";"Rural";1;0;0;0;1;0;0;1
83452134;"30/03/16";"Quarta";"11:50:00";"GO";60;"73,5";"ABADIANIA";"Defeito mecânico em veículo";"Capotamento";"Sem Vítimas";"Pleno dia";"Decrescente";"Sol";"Dupla";"Reta";"Rural";1;0;0;0;1;0;0;1
83452135;"30/03/16";"Quarta";"10:50:00";"SC";282;"218,4";"LAGES";"Falta de atenção";"Colisão traseira";"Sem Vítimas";"Pleno dia";"Decrescente";"Sol";"Dupla";"Cruzamento";"Urbano";2;0;0;0;2;0;0;2
83452136;"27/03/16";"Domingo";"05:50:00";"PB";230;"131,2";"CAMPINA GRANDE";"Outras";"Saída de Pista";"Sem Vítimas";"Amanhecer";"Decrescente";"Ceu Claro";"Dupla";"Reta";"Rural";1;0;0;0;1;0;0;1
83452137;"26/03/16";"Sábado";"19:50:00";"BA";324;"614";"SIMOES FILHO";"Velocidade incompatível";"Atropelamento de pessoa";"Com Vítimas Feridas";"Plena noite";"Crescente";"Ceu Claro";"Dupla";"Reta";"Urbano";2;0;0;1;0;1;1;1
83452138;"30/03/16";"Quarta";"08:10:00";"MG";459;"26,5";"CALDAS";"Falta de atenção";"Colisão traseira";"Sem Vítimas";"Pleno dia";"Decrescente";"Ceu Claro";"Simples";"Cruzamento";"Urbano";3;0;0;0;3;0;0;3
83452139;"05/02/16";"Sexta";"16:35:00";"SP";116;"143";"SAO JOSE DOS CAMPOS";"Falta de atenção";"Colisão traseira";"Sem Vítimas";"Pleno dia";"Decrescente";"Sol";"Dupla";"Reta";"Rural";4;0;0;0;4;0;0;4
